DATA_BASE;DIST;ITEM;Próprio_Distribuidor;Diferente_Próprio_Distribuidor;Total
31/12/2022;6587;REDE MT                           ;18873.716663;545.579613;19419.296276
31/12/2023;6587;REDE MT                           ;19082.968694;545.739414;19628.708108
31/12/2024;6587;REDE MT                           ;19134.322642;659.224881;19793.547523
31/12/2020;6600;REDE MT                           ;42000.535778;294.603988;42295.139766
31/12/2021;6600;REDE MT                           ;42260.324706;327.066757;42587.391463
31/12/2022;6600;REDE MT                           ;42668.606883;335.086119;43003.693002
31/12/2023;6600;REDE MT                           ;45520.577898;417.057339;45937.635237
31/12/2024;6600;REDE MT                           ;46125.521077;394.567617;46520.088694
31/12/2020;6611;REDE MT                           ;2326.704464;27.097364;2353.801828
31/12/2021;6611;REDE MT                           ;2344.451114;29.190465;2373.641579
31/12/2022;6611;REDE MT                           ;2355.918522;35.92068;2391.839202
31/12/2020;6612;REDE MT                           ;1226.445923;2.224154;1228.670077
31/12/2021;6612;REDE MT                           ;1231.772002;2.224154;1233.996156
31/12/2020;26;REDE MT AEREA                     ;17782.199938;9.116954;17791.316892
31/12/2021;26;REDE MT AEREA                     ;17964.737444;14.126114;17978.863558
31/12/2022;26;REDE MT AEREA                     ;18393.364908;24.175844;18417.540752
31/12/2023;26;REDE MT AEREA                     ;18972.14387;65.866489;19038.010359
31/12/2024;26;REDE MT AEREA                     ;20043.217479;71.31385;20114.531329
31/12/2020;32;REDE MT AEREA                     ;86371.552421;295.74662;86667.299041
31/12/2021;32;REDE MT AEREA                     ;87282.998348;317.028498;87600.026846
31/12/2022;32;REDE MT AEREA                     ;88795.272392;325.954199;89121.226591
31/12/2023;32;REDE MT AEREA                     ;89876.481607;340.528393;90217.01
31/12/2024;32;REDE MT AEREA                     ;91287.047397;403.618339;91690.665736
31/12/2020;369;REDE MT AEREA                     ;56135.010882;4371.624251;60506.635133
31/12/2021;369;REDE MT AEREA                     ;60639.685449;789.255621;61428.94107
31/12/2022;369;REDE MT AEREA                     ;63077.742003;880.713465;63958.455468
31/12/2023;369;REDE MT AEREA                     ;64967.240931;261.313446;65228.554377
31/12/2024;369;REDE MT AEREA                     ;66205.151651;337.454903;66542.606554
31/12/2020;404;REDE MT AEREA                     ;84627.216321;1152.772242;85779.988563
31/12/2021;404;REDE MT AEREA                     ;85728.442328;1207.702009;86936.144337
31/12/2022;404;REDE MT AEREA                     ;87004.489686;1283.572596;88288.062282
31/12/2023;404;REDE MT AEREA                     ;87977.968163;1361.389354;89339.357517
31/12/2024;404;REDE MT AEREA                     ;88867.491814;1520.801935;90388.293749
31/12/2020;405;REDE MT AEREA                     ;176057.337091;13117.258146;189174.595237
31/12/2021;405;REDE MT AEREA                     ;180685.872452;13144.88197;193830.754422
31/12/2022;405;REDE MT AEREA                     ;186670.253635;11587.314663;198257.568298
31/12/2023;405;REDE MT AEREA                     ;189128.111789;11074.598162;200202.709951
31/12/2024;405;REDE MT AEREA                     ;194092.589113;10846.954554;204939.543667
31/12/2020;5216;REDE MT AEREA                     ;22843.769791;495.914334;23339.684125
31/12/2021;5216;REDE MT AEREA                     ;23130.121625;487.341715;23617.46334
31/12/2022;5216;REDE MT AEREA                     ;23252.16253;461.985517;23714.148047
31/12/2023;5216;REDE MT AEREA                     ;23625.932787;472.400868;24098.333655
